Name,Phone Number,Emails,Website,Location
"Siège DEKRA Automotive Maroc","0522-916957","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","85 Bd Oued Sebou, Casablanca 20220"
"Centre de visite technique DEKRA SAFI","","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","Morocco"
"Centre de visite technique DEKRA Bouznika","0660-125905","contact.dam.ma@dekra.com","https://book.dekra.io/book/customer-retail/MA","Auguste Lumière, Bouznika"
"Centre de visite technique DEKRA Khemisset","0664-855999","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","Lot 11, Khemisset"
"Centre de visite technique Al Azhar","0662-627655","","","Zone Industrielle Alazhar Lt 12.071 Sidi Moumen, Casablanca 20620"
"Revitex : Contrôle Technique Berkane","0536-620000","","http://www.ctberkane.ma/","Douare Lot L95 CR FEZOUZNE, N2, Milli"
"Dekra : Contrôle Technique des Véhicules","","","http://dekra-automotive.ma/centre-securex-meknes/","MEKNÈS"
"Orcotex : Centre visite technique de véhicules","","","http://orcotex.com/","style="font-weight: 400;">"Meilleur controle technique a marrakech"
"Centre de visite technique DEKRA Kamra","0537-794483","contact.dam.ma@dekra.com","https://book.dekra.io/book/customer-retail/MA","20, Bd ALMAJD QAMRA, Rabat"
"Centre visite technique taddart SGS AUTO","0522-810392","","","Casablanca"
"Centre de visite technique DEKRA OUJDA","","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","OUJDA Morocco"
"Centre de visite technique Boufakrane مركز الفحص التقني بوفكران‭","0535-436868","","","QG39+7W6, Boufakrane"
"Visite Technique SALAMA LAZVITEX مركز الفحص التقني للسيارات السلامة‭","","","http://salama.ma/","Rue Numero 814 IndustrielFerm"
"CENTRE VISITE TECHNIQUE DEKRA VITAPT مركز الفحص التقني‭","","","http://dekra-automotive.ma/centre-securex-meknes/","MARRAKECH"
"Visite Technique Lakhsass مركز الفحص التقني لخصاص‭","0528-670889","","","966W+X97 Municipalité, Ifni, Lakhssas"
"مركز الفحص التقني STE SOVITET‭","","contact@sovitet.com; Crr0709@gmail.com","http://www.sovitet.com/","STE SOVITET‭ Morocco"
